x,y,z,mesh_id,vertex_id,elevation,slope,aspect
139.7450,35.6580,50,1,1,50,0,0
139.7451,35.6580,50,1,2,50,0,0
139.7452,35.6580,50,1,3,50,0,0
139.7453,35.6580,50,1,4,50,0,0
139.7454,35.6580,50,1,5,50,0,0
139.7450,35.6581,50,1,6,50,0,0
139.7451,35.6581,50,1,7,50,0,0
139.7452,35.6581,50,1,8,50,0,0
139.7453,35.6581,50,1,9,50,0,0
139.7454,35.6581,50,1,10,50,0,0
139.7450,35.6582,50,1,11,50,0,0
139.7451,35.6582,50,1,12,50,0,0
139.7452,35.6582,50,1,13,50,0,0
139.7453,35.6582,50,1,14,50,0,0
139.7454,35.6582,50,1,15,50,0,0
139.7450,35.6583,50,1,16,50,0,0
139.7451,35.6583,50,1,17,50,0,0
139.7452,35.6583,50,1,18,50,0,0
139.7453,35.6583,50,1,19,50,0,0
139.7454,35.6583,50,1,20,50,0,0
139.7450,35.6584,50,1,21,50,0,0
139.7451,35.6584,50,1,22,50,0,0
139.7452,35.6584,50,1,23,50,0,0
139.7453,35.6584,50,1,24,50,0,0
139.7454,35.6584,50,1,25,50,0,0
139.7450,35.6580,100,2,1,100,0,0
139.7451,35.6580,100,2,2,100,0,0
139.7452,35.6580,100,2,3,100,0,0
139.7453,35.6580,100,2,4,100,0,0
139.7454,35.6580,100,2,5,100,0,0
139.7450,35.6581,100,2,6,100,0,0
139.7451,35.6581,100,2,7,100,0,0
139.7452,35.6581,100,2,8,100,0,0
139.7453,35.6581,100,2,9,100,0,0
139.7454,35.6581,100,2,10,100,0,0
139.7450,35.6582,100,2,11,100,0,0
139.7451,35.6582,100,2,12,100,0,0
139.7452,35.6582,100,2,13,100,0,0
139.7453,35.6582,100,2,14,100,0,0
139.7454,35.6582,100,2,15,100,0,0
139.7450,35.6583,100,2,16,100,0,0
139.7451,35.6583,100,2,17,100,0,0
139.7452,35.6583,100,2,18,100,0,0
139.7453,35.6583,100,2,19,100,0,0
139.7454,35.6583,100,2,20,100,0,0
139.7450,35.6584,100,2,21,100,0,0
139.7451,35.6584,100,2,22,100,0,0
139.7452,35.6584,100,2,23,100,0,0
139.7453,35.6584,100,2,24,100,0,0
139.7454,35.6584,100,2,25,100,0,0 